name,author,narrator,releasedate,language,price,rating_stars,n_ratings,time_mins
Geronimo Stilton #11 & #12,GeronimoStilton,BillLobely,2008-04-08,English,5.6160000000000005,5.0,34.0,140
The Burning Maze,RickRiordan,RobbieDaymond,2018-01-05,English,9.84,4.5,41.0,788
The Deep End,JeffKinney,DanRussell,2020-06-11,English,4.92,4.5,38.0,123
Daughter of the Deep,RickRiordan,SoneelaNankani,2021-05-10,English,7.38,4.5,12.0,676
"The Lightning Thief: Percy Jackson, Book 1",RickRiordan,JesseBernstein,2010-01-13,English,9.84,4.5,181.0,600
The Hunger Games: Special Edition,SuzanneCollins,TatianaMaslany,2018-10-30,English,7.872,5.0,72.0,635
Quest for the Diamond Sword,WinterMorgan,LukeDaniels,2014-11-25,English,2.7960000000000003,5.0,11.0,143
The Dark Prophecy,RickRiordan,RobbieDaymond,2017-02-05,English,9.84,5.0,50.0,752
Merlin Mission Collection,MaryPopeOsborne,MaryPopeOsborne,2017-02-05,English,15.072000000000001,5.0,5.0,656
The Tyrant’s Tomb,RickRiordan,RobbieDaymond,2019-09-24,English,9.84,5.0,58.0,802
"The Titan's Curse: Percy Jackson, Book 3",RickRiordan,JesseBernstein,2010-01-14,English,9.84,4.5,130.0,528
Magic Tree House Collection: Books 9-16,MaryPopeOsborne,MaryPopeOsborne,2011-08-24,English,14.472,5.0,6.0,323
Magic Tree House Collection: Books 1-8,MaryPopeOsborne,MaryPopeOsborne,2011-09-27,English,14.472,5.0,7.0,361
Magnus Chase and the Ship of the Dead,RickRiordan,MichaelCrouch,2017-03-10,English,9.84,5.0,41.0,778
Northern Lights,PhilipPullman,"PhilipPullman,fullcast,RuthWilson",2021-06-24,English,13.116,4.0,2.0,715
Geronimo Stilton #13 and #14,GeronimoStilton,BillLobley,2008-08-02,English,5.604,4.5,33.0,145
Magic Tree House Collection,MaryPopeOsborne,MaryPopeOsborne,2004-12-26,English,14.472,5.0,7.0,304
Exile,ShannonMessenger,CaitlinKelly,2018-06-11,English,10.032,5.0,20.0,881
Merlin Mission Collection,MaryPopeOsborne,MaryPopeOsborne,2017-02-05,English,15.072000000000001,5.0,11.0,618
Neverseen,ShannonMessenger,CaitlinKelly,2018-06-11,English,12.036,5.0,13.0,1002
The Tower of Nero,RickRiordan,RobbieDaymond,2020-06-10,English,7.38,5.0,79.0,732
"Eldest: The Inheritance Cycle, Book 2",ChristopherPaolini,GerrardDoyle,2009-04-14,English,11.484,4.5,47.0,1409
Artemis Fowl,EoinColfer,GerryO'Brien,2013-11-04,English,8.196,5.0,27.0,406
Geronimo Stilton 22 & 24,GeronimoStilton,BillLobley,2011-01-02,English,5.628,4.5,25.0,157
Percy Jackson and the Battle of the Labyrinth,RickRiordan,JesseBernstein,2010-01-21,English,9.84,5.0,101.0,632
Winnie-the-Pooh,A.A.Milne,PeterDennis,2003-12-28,English,5.6160000000000005,5.0,15.0,166
Magic Tree House Collection: Books 25-32,MaryPopeOsborne,MaryPopeOsborne,2020-01-09,English,15.072000000000001,5.0,3.0,429
Geronimo Stilton #20 and #21,GeronimoStilton,BillLobley,2010-01-10,English,5.628,5.0,18.0,152
The Red Pyramid,RickRiordan,"JaneCollingwood,JosephMay",2013-01-24,English,9.84,4.5,37.0,824
Mystery of the Griefer's Mark,WinterMorgan,LukeDaniels,2014-11-25,English,2.7960000000000003,5.0,9.0,113
Geronimo Stilton #17,GeronimoStilton,BillLobley,2009-07-13,English,5.6160000000000005,5.0,8.0,148
The House at Pooh Corner,A.A.Milne,PeterDennis,2005-05-04,English,4.488,5.0,5.0,192
Mission Unstoppable,DanGutman,MichaelGoldstrom,2013-01-08,English,8.424,5.0,8.0,368
Darkness of Dragons,TuiT.Sutherland,ShannonMcManus,2017-01-08,English,7.872,5.0,8.0,626
The Adventures of Rusty,RuskinBond,NehaGargava,2018-01-11,Hindi,3.408,4.5,10.0,341
Geronimo Stilton #15 and #16,GeronimoStilton,BillLobley,2008-08-02,English,5.604,4.0,28.0,163
The Lost Heir,TuiT.Sutherland,ShannonMcManus,2016-04-02,English,6.9,5.0,9.0,443
Everblaze,ShannonMessenger,CaitlinKelly,2018-06-11,English,10.032,5.0,18.0,879
Treasure Hunters in Trouble,WinterMorgan,LukeDaniels,2015-03-31,English,8.016,5.0,7.0,118
Lodestar,ShannonMessenger,CaitlinKelly,2018-06-11,English,12.036,5.0,19.0,991
Curse of the Arctic Star,CarolynKeene,JorjeanaMarie,2014-12-28,English,3.66,4.5,25.0,215
The Ghost of Grey Fox Inn,CarolynKeene,JorjeanaMarie,2017-03-20,English,3.66,5.0,11.0,199
Rowley Jefferson's Awesome Friendly Adventure,JeffKinney,ChristopherGebauer,2020-04-08,English,4.92,4.0,16.0,91
Flashback,ShannonMessenger,CaitlinKelly,2018-11-12,English,14.040000000000001,5.0,12.0,1389
Secret of the Red Arrow,FranklinW.Dixon,TimGregory,2015-04-11,English,3.66,4.5,16.0,213
"The Lightning Thief: Percy Jackson, Book 1",RickRiordan,WalterLewis,2010-01-13,English,7.38,4.0,4.0,231
Clash of the Creepers,WinterMorgan,LukeDaniels,2015-07-07,English,2.7960000000000003,5.0,10.0,121
The Skeletons Strike Back,WinterMorgan,LukeDaniels,2015-07-07,English,2.7960000000000003,5.0,7.0,121
Dragonslayer,TuiT.Sutherland,ShannonMcManus,2020-03-03,English,7.872,5.0,17.0,764
The Dark Secret,TuiT.Sutherland,ShannonMcManus,2016-01-07,English,6.9,5.0,9.0,455
The Gruffalo's Child,"JuliaDonaldson,AxelScheffler",ImeldaStaunton,2010-08-19,English,3.876,4.5,4.0,22
Merlin Mission Collection,MaryPopeOsborne,MaryPopeOsborne,2017-02-05,English,15.072000000000001,5.0,8.0,804
Keys to the Demon Prison,BrandonMull,E.B.Stevens,2013-01-08,English,6.192,5.0,1.0,1057
Legacy,ShannonMessenger,CaitlinKelly,2019-05-11,English,14.040000000000001,5.0,14.0,1375
The Endermen Invasion,WinterMorgan,LukeDaniels,2015-05-26,English,2.7960000000000003,5.0,5.0,122
Captain Underpants and the Revolting Revenge of the Radioactive Robo-Boxers,DavPilkey,"LenForgione,AshtonSundholm,JadenRogers",2021-02-11,English,5.34,5.0,1.0,130
You Only Die Twice,DanGutman,MichaelGoldstrom,2013-09-17,English,7.0200000000000005,5.0,5.0,349
From Texas with Love,DanGutman,MichaelGoldstrom,2014-01-28,English,8.424,5.0,6.0,327
The Dragonet Prophecy,TuiT.Sutherland,ShannonMcManus,2012-01-07,English,9.84,5.0,11.0,512
Dangerous Gift,TuiT.Sutherland,ShannonMcManus,2021-02-03,English,5.34,5.0,9.0,471
"The 39 Clues, Book 6",JudeWatson,DavidPittu,2009-06-11,English,5.6160000000000005,5.0,4.0,310
Never Say Genius,DanGutman,MichaelGoldstrom,2013-08-23,English,7.0200000000000005,5.0,8.0,327
The Madman of Black Bear Mountain,FranklinW.Dixon,TimGregory,2016-07-06,English,3.66,5.0,3.0,174
Tiger Honor,YoonHaLee,ElissaPark,2022-04-01,English,7.032,5.0,1.0,456
The Amulet of Samarkand,JonathanStroud,StevenPacey,2007-01-02,English,8.196,5.0,17.0,570
Rowley Jefferson's Awesome Friendly Spooky Stories,JeffKinney,ChristopherGebauer,2021-03-16,English,4.92,3.5,7.0,89
Lost in the End,WinterMorgan,SummerMcCusker,2016-06-04,English,2.7960000000000003,5.0,5.0,103
Trouble Island,FranklinW.Dixon,TimGregory,2021-01-06,English,3.66,5.0,2.0,264
